Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,Image Url,Female Nudity,Male Nudity,Nudity
63.572.1(2),False,False,True,412179,,Drawings and Prints,1963,Print,Eva from Eva und die Zukunft (Rad.-Werk  III),,,,,,69088690889050,Artist|Publisher|Printer, |Published by|Printed by,Max Klinger|Max Klinger|Wilhelm Felsing,"German, Leipzig 1857–1920 Großjena|German, Leipzig 1857–1920 Großjena| ", | | ,"Klinger, Max|Klinger, Max|Felsing, Wilhelm",German|German|German,1857      |1857      |          ,1920      |1920      |          ,male,http://vocab.getty.edu/page/ulan/500023867|http://vocab.getty.edu/page/ulan/500023867|,https://www.wikidata.org/wiki/Q44252|https://www.wikidata.org/wiki/Q44252|,1898,1898,1898,Etching; eighth state of eight,"Plate: 8 1/4 x 9 5/8 in. (21 x 24.5 cm)
Sheet: 17 5/16 x 23 5/8 in. (44 x 60 cm)","Purchase, Gift of A. G. Raskin, 1963",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/412179,,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Trees,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/dp/original/DP822922.jpg,True,,Female
63.572.1(4),False,False,True,412181,,Drawings and Prints,1963,Print,Die Schlange from Eva und die Zukunft (Rad.-Werk  III),,,,,,69088690889050,Artist|Publisher|Printer, |Published by|Printed by,Max Klinger|Max Klinger|Wilhelm Felsing,"German, Leipzig 1857–1920 Großjena|German, Leipzig 1857–1920 Großjena| ", | | ,"Klinger, Max|Klinger, Max|Felsing, Wilhelm",German|German|German,1857      |1857      |          ,1920      |1920      |          ,male,http://vocab.getty.edu/page/ulan/500023867|http://vocab.getty.edu/page/ulan/500023867|,https://www.wikidata.org/wiki/Q44252|https://www.wikidata.org/wiki/Q44252|,1898,1898,1898,Etching; ninth state of nine,"Plate: 11 9/16 x 6 1/8 in. (29.4 x 15.5 cm)
Sheet: 23 5/8 x 17 5/16 in. (60 x 44 cm)","Purchase, Gift of A. G. Raskin, 1963",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/412181,,,"Metropolitan Museum of Art, New York, NY",Serpents|Eve|Mirrors,http://vocab.getty.edu/page/aat/300417734|http://vocab.getty.edu/page/ia/901000205|http://vocab.getty.edu/page/aat/300037682,https://www.wikidata.org/wiki/Q2102|https://www.wikidata.org/wiki/Q830183|https://www.wikidata.org/wiki/Q35197,https://images.metmuseum.org/CRDImages/dp/original/DP822919.jpg,True,,Female
63.572.1(5),False,False,True,412182,,Drawings and Prints,1963,Print,Zweite Zukunft from Eva und die Zukunft (Rad.-Werk  III),,,,,,69088690889050,Artist|Publisher|Printer, |Published by|Printed by,Max Klinger|Max Klinger|Wilhelm Felsing,"German, Leipzig 1857–1920 Großjena|German, Leipzig 1857–1920 Großjena| ", | | ,"Klinger, Max|Klinger, Max|Felsing, Wilhelm",German|German|German,1857      |1857      |          ,1920      |1920      |          ,male,http://vocab.getty.edu/page/ulan/500023867|http://vocab.getty.edu/page/ulan/500023867|,https://www.wikidata.org/wiki/Q44252|https://www.wikidata.org/wiki/Q44252|,1898,1898,1898,Etching and aquatint; eighth state of eight,"Plate: 11 5/8 x 10 1/2 in. (29.5 x 26.6 cm)
Sheet: 23 5/8 x 17 1/4 in. (60 x 43.8 cm)","Purchase, Gift of A. G. Raskin, 1963",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/412182,,,"Metropolitan Museum of Art, New York, NY",Male Nudes|Fish,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300266085,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q152,https://images.metmuseum.org/CRDImages/dp/original/DP822921.jpg,,True,Male
63.572.1(6),False,False,True,412190,,Drawings and Prints,1963,Plate,Adam from Eva und die Zukunft (Rad.-Werk  III),,,,,,69088690889050,Artist|Publisher|Printer, |Published by|Printed by,Max Klinger|Max Klinger|Wilhelm Felsing,"German, Leipzig 1857–1920 Großjena|German, Leipzig 1857–1920 Großjena| ", | | ,"Klinger, Max|Klinger, Max|Felsing, Wilhelm",German|German|German,1857      |1857      |          ,1920      |1920      |          ,male,http://vocab.getty.edu/page/ulan/500023867|http://vocab.getty.edu/page/ulan/500023867|,https://www.wikidata.org/wiki/Q44252|https://www.wikidata.org/wiki/Q44252|,1898,1898,1898,Etching and aquatint; seventh state of seven,"Plate: 11 9/16 x 10 5/8 in. (29.4 x 27 cm)
Sheet: 23 5/8 x 17 5/16 in. (60 x 44 cm)","Purchase, Gift of A. G. Raskin, 1963",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/412190,,,"Metropolitan Museum of Art, New York, NY",Adam,http://vocab.getty.edu/page/ia/901000219,https://www.wikidata.org/wiki/Q70899,https://images.metmuseum.org/CRDImages/dp/original/DP822924.jpg,True,True,Female and Male
2014.101,False,False,True,428605,,Drawings and Prints,2014,Drawing,Two Women in an Interior Listening to a Young Musician in Antique Times,,,,,,10650,Artist, ,Kristian Zahrtmann,"Danish, Rønne 1834–1912 Frederiksberg", ,"Zahrtmann, Kristian",Danish,1834      ,1912      ,male,http://vocab.getty.edu/page/ulan/500002415,https://www.wikidata.org/wiki/Q2361850,1902,1902,1902,"Charcoal; framing line in charcoal, by the artist",Sheet: 13 11/16 × 16 3/4 in. (34.8 × 42.5 cm),"Purchase, Daniel Ergmann Gift, 2014",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/428605,,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Men|Women|Musicians,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300025666,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q639669,https://images.metmuseum.org/CRDImages/dp/original/DP831832.jpg,True,True,Female and Male
29.100.37,False,False,True,436128,817,European Paintings,1929,Drawing,Woman with a Towel,,,,,,16182,Artist, ,Edgar Degas,"French, Paris 1834–1917 Paris", ,"Degas, Edgar",French,1834      ,1917      ,male,http://vocab.getty.edu/page/ulan/500115194,https://www.wikidata.org/wiki/Q46373,1894 or 1898,1894,1894,Pastel on cream-colored wove paper with red and blue fibers throughout,"37 3/4 x 30in. (95.9 x 76.2cm)
Frame: 44 1/4 x 36 1/4 x 1 7/8 in. (112.4 x 92.1 x 4.8 cm)","H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/436128,https://www.wikidata.org/wiki/Q19913634,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ep/original/DP253482.jpg,True,,Female
49.58.1,False,True,True,436446,,European Paintings,1949,Painting,Two Tahitian Women,,,,,,16192,Artist, ,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands", ,"Gauguin, Paul",French,1848      ,1903      ,male,http://vocab.getty.edu/page/ulan/500011421,https://www.wikidata.org/wiki/Q37693,1899,1899,1899,Oil on canvas,37 x 28 1/2 in. (94 x 72.4 cm),"Gift of William Church Osborn, 1949",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436446,https://www.wikidata.org/wiki/Q3235403,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ep/original/DT1342.jpg,True,,Female
25.79,False,False,True,436921,,European Paintings,1925,Painting,The Crucifixion,,,,,,10794,Artist,Copy after,Luca di Tommè di Nuto,"Italian, shortly before 1925", ,Luca di Tommè di Nuto,Italian,1356      ,1389      ,male,http://vocab.getty.edu/page/ulan/500003597,https://www.wikidata.org/wiki/Q21851359,,1920,1925,"Oil on wood, gold ground",13 7/8 x 8 3/8 in. (35.2 x 21.3 cm),"Administration Fund, 1925",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/436921,https://www.wikidata.org/wiki/Q19914247,,"Metropolitan Museum of Art, New York, NY",Crucifixion|Christ|Virgin Mary,http://vocab.getty.edu/page/aat/300404300|http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/ia/901000032,https://www.wikidata.org/wiki/Q3235597|https://www.wikidata.org/wiki/Q642420|https://www.wikidata.org/wiki/Q345,https://images.metmuseum.org/CRDImages/ep/original/ep25.79.bw.R.jpg,,True,Male
29.100.126,False,False,True,437306,820,European Paintings,1929,Painting,Bather in the Woods,,,,,,16225,Artist, ,Camille Pissarro,"French, Charlotte Amalie, Saint Thomas 1830–1903 Paris", ,"Pissarro, Camille",French,1830      ,1903      ,male,http://vocab.getty.edu/page/ulan/500001924,https://www.wikidata.org/wiki/Q134741,1895,1895,1895,Oil on canvas,23 3/4 x 28 3/4 in. (60.3 x 73 cm),"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437306,https://www.wikidata.org/wiki/Q19905387,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Bathing,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q327651,https://images.metmuseum.org/CRDImages/ep/original/DT837.jpg,True,,Female
06.177,True,True,True,437344,800,European Paintings,1906,Painting,The Shepherd's Song,,,,,,16228,Artist, ,Pierre Puvis de Chavannes,"French, Lyons 1824–1898 Paris", ,"Puvis de Chavannes, Pierre",French,1824      ,1898      ,male,http://vocab.getty.edu/page/ulan/500008870,https://www.wikidata.org/wiki/Q216873,1891,1891,1891,Oil on canvas,41 1/8 x 43 1/4 in. (104.5 x 109.9 cm),"Rogers Fund, 1906",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437344,https://www.wikidata.org/wiki/Q19905165,,"Metropolitan Museum of Art, New York, NY",Men|Sheep|Shepherds|Women,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250284|http://vocab.getty.edu/page/aat/300025617|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q7368|https://www.wikidata.org/wiki/Q81710|https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/ep/original/DP-14201-001.jpg,True,True,Female and Male
27.29,False,False,True,437380,,European Paintings,1927,Painting,The Chariot of Apollo,,,,,,16229,Artist, ,Odilon Redon,"French, Bordeaux 1840–1916 Paris", ,"Redon, Odilon",French,1840      ,1916      ,male,http://vocab.getty.edu/page/ulan/500007292,https://www.wikidata.org/wiki/Q154349,1905–16,1905,1916,Oil on canvas,26 x 32 in. (66 x 81.3 cm),"Anonymous Gift, 1927",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437380,https://www.wikidata.org/wiki/Q19914239,,"Metropolitan Museum of Art, New York, NY",Apollo|Horses|Sky|Chariots,http://vocab.getty.edu/page/ia/901000109|http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300263064|http://vocab.getty.edu/page/aat/300212699,https://www.wikidata.org/wiki/Q37340|https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q527|https://www.wikidata.org/wiki/Q203788,https://images.metmuseum.org/CRDImages/ep/original/DP279887.jpg,,True,Male
60.19.1,False,True,True,437383,813,European Paintings,1960,Painting,Pandora,,,,,,16229,Artist, ,Odilon Redon,"French, Bordeaux 1840–1916 Paris", ,"Redon, Odilon",French,1840      ,1916      ,male,http://vocab.getty.edu/page/ulan/500007292,https://www.wikidata.org/wiki/Q154349,ca. 1914,1909,1919,Oil on canvas,56 1/2 x 24 1/2 in. (143.5 x 62.2 cm),"Bequest of Alexander M. Bing, 1959",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437383,https://www.wikidata.org/wiki/Q19912418,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Flowers,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q506,https://images.metmuseum.org/CRDImages/ep/original/DP-20339-001.jpg,True,,Female
51.33.2,False,True,True,437837,817,European Paintings,1951,Painting,The Sofa,,,,,,16256,Artist, ,Henri de Toulouse-Lautrec,"French, Albi 1864–1901 Saint-André-du-Bois", ,"Toulouse-Lautrec, Henri de",French,1864      ,1901      ,male,http://vocab.getty.edu/page/ulan/500029114,https://www.wikidata.org/wiki/Q82445,ca. 1894–96,1894,1896,Oil on cardboard,24 3/4 x 31 7/8 in. (62.9 x 81 cm),"Rogers Fund, 1951",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437837,https://www.wikidata.org/wiki/Q19905335,,"Metropolitan Museum of Art, New York, NY",Couples|Women|Prostitutes,http://vocab.getty.edu/page/aat/300379217|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300189023,https://www.wikidata.org/wiki/Q219160|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q14915751,https://images.metmuseum.org/CRDImages/ep/original/DT1924.jpg,True,,Female
05.39.1,False,False,True,437936,,European Paintings,1905,Painting,Ariadne,,,,,,16510,Artist, ,George Frederic Watts,"British, London 1817–1904 London", ,"Watts, George Frederic",British,1817      ,1904      ,male,http://vocab.getty.edu/page/ulan/500026988,https://www.wikidata.org/wiki/Q183245,1894,1894,1894,Oil on canvas,24 x 20 in. (61 x 50.8 cm),"Rogers Fund, 1905",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/437936,https://www.wikidata.org/wiki/Q19905432,,"Metropolitan Museum of Art, New York, NY",Animals|Ariadne|Satyrs|Panthers,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/ia/901000155|http://vocab.getty.edu/page/aat/300379732|http://vocab.getty.edu/page/aat/300310390,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q184874|https://www.wikidata.org/wiki/Q163709|https://www.wikidata.org/wiki/Q35255,https://images.metmuseum.org/CRDImages/ep/original/DP169627.jpg,True,,Female
1997.60.3,False,False,True,438000,822,European Paintings,1997,Painting,Three Tahitian Women,,,,,,16192,Artist, ,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands", ,"Gauguin, Paul",French,1848      ,1903      ,male,http://vocab.getty.edu/page/ulan/500011421,https://www.wikidata.org/wiki/Q37693,1896,1896,1896,Oil on wood,9 5/8 x 17 in. (24.4 x 43.2 cm),"The Walter H. and Leonore Annenberg Collection, Gift of Walter H. and Leonore Annenberg, 1997, Bequest of Walter H. Annenberg, 2002",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/438000,https://www.wikidata.org/wiki/Q19912008,,"Metropolitan Museum of Art, New York, NY",Women|Female Nudes,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ep/original/DT1954.jpg,True,,Female
2003.20.15,False,True,True,438018,823,European Paintings,2003,Painting,Woman before a Mirror,,,,,,16256,Artist, ,Henri de Toulouse-Lautrec,"French, Albi 1864–1901 Saint-André-du-Bois", ,"Toulouse-Lautrec, Henri de",French,1864      ,1901      ,male,http://vocab.getty.edu/page/ulan/500029114,https://www.wikidata.org/wiki/Q82445,1897,1897,1897,Oil on cardboard,24 1/2 x 18 1/2 in. (62.2 x 47 cm),"The Walter H. and Leonore Annenberg Collection, Bequest of Walter H. Annenberg, 2002",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/438018,https://www.wikidata.org/wiki/Q19912242,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Prostitutes|Mirrors,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300189023|http://vocab.getty.edu/page/aat/300037682,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q14915751|https://www.wikidata.org/wiki/Q35197,https://images.metmuseum.org/CRDImages/ep/original/DT1923.jpg,True,,Female
51.112.2,True,True,True,438821,825,European Paintings,1951,Painting,Ia Orana Maria (Hail Mary),,,,,,16192,Artist, ,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands", ,"Gauguin, Paul",French,1848      ,1903      ,male,http://vocab.getty.edu/page/ulan/500011421,https://www.wikidata.org/wiki/Q37693,1891,1891,1891,Oil on canvas,44 3/4 x 34 1/2 in. (113.7 x 87.6 cm),"Bequest of Sam A. Lewisohn, 1951",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/438821,https://www.wikidata.org/wiki/Q1118465,,"Metropolitan Museum of Art, New York, NY",Jesus|Women|Landscapes|Angels|Virgin Mary,http://vocab.getty.edu/page/ia/901000087|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300379004|http://vocab.getty.edu/page/ia/901000032,https://www.wikidata.org/wiki/Q302|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q235113|https://www.wikidata.org/wiki/Q345,https://images.metmuseum.org/CRDImages/ep/original/DT1025.jpg,True,True,Female and Male
1975.1.179,False,False,True,459100,,Robert Lehman Collection,1975,Painting,Tahitian Women Bathing,,,,,,16192,Artist, ,Paul Gauguin,"French, Paris 1848–1903 Atuona, Hiva Oa, Marquesas Islands", ,"Gauguin, Paul",French,1848      ,1903      ,male,http://vocab.getty.edu/page/ulan/500011421,https://www.wikidata.org/wiki/Q37693,1892,1892,1892,"Oil on paper, laid down on canvas",43 3/4 x 35 1/8 in,"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/459100,https://www.wikidata.org/wiki/Q20181331,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Bathing,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q327651,https://images.metmuseum.org/CRDImages/rl/original/DT3117.jpg|https://images.metmuseum.org/CRDImages/rl/original/ep1975.1.179.bw.R.jpg|https://images.metmuseum.org/CRDImages/rl/original/2461.jpg,True,,Female
1975.1.199,True,True,True,459110,,Robert Lehman Collection,1975,Painting,Young Girl Bathing,,,,,,16230,Artist, ,Auguste Renoir,"French, Limoges 1841–1919 Cagnes-sur-Mer", ,"Renoir, Auguste",French,1841      ,1919      ,male,http://vocab.getty.edu/page/ulan/500115467,https://www.wikidata.org/wiki/Q39931,1892,1892,1892,Oil on canvas,32 x 25 1/2 in. (81.3 x 64.8 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/459110,https://www.wikidata.org/wiki/Q20181740,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Bathing,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q327651,https://images.metmuseum.org/CRDImages/rl/original/DP-17279-001.jpg|https://images.metmuseum.org/CRDImages/rl/original/DP-17279-002.jpg,True,,Female
1975.1.697,False,False,True,460076,,Robert Lehman Collection,1975,Drawing,Study of a Nude with Drapery,,,,,,16232,Artist, ,Auguste Rodin,"French, Paris 1840–1917 Meudon", ,"Rodin, Auguste",French,1840      ,1917      ,male,http://vocab.getty.edu/page/ulan/500016619,https://www.wikidata.org/wiki/Q30755,ca. 1908,1908,1908,"Pencil and bistre on buff wove paper, darkened, with left margin and bottom right torn",12 3/16 x 7 7/8 in.  (31 x 20 cm),"Robert Lehman Collection, 1975",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/460076,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/rl/original/DP-19531-088.jpg|https://images.metmuseum.org/CRDImages/rl/original/sf-rlc-1975-1-697.JPG,True,,Female
1973.313,False,False,True,481147,,Modern and Contemporary Art,1973,Sculpture,Small Female Torso,,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1910–11; cast 1940s,1910,1911,Bronze,"27 1/2 × 10 1/2 × 12 1/2 in. (69.9 × 26.7 × 31.8 cm)
Weight: 48 lb. (21.8 kg)","Gift of Mrs. Maurice E. Blin, 1973",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/481147,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ma/original/sf1973.313.jpg,True,,Female
1982.503,False,False,True,482561,,Modern and Contemporary Art,1982,Drawing,Torso of a Nude Woman,,,,,,16213,Artist, ,Amedeo Modigliani,"Italian, Livorno 1884–1920 Paris", ,"Modigliani, Amedeo",Italian,1884      ,1920      ,male,http://vocab.getty.edu/page/ulan/500026509,https://www.wikidata.org/wiki/Q120993,ca. 1918,1918,1918,Graphite on paper,17 1/8 x 10 3/8 in. (43.5 x 26.4 cm),"Gift of Bella and Sol Fishko, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/482561,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ma/original/DT7435.jpg|https://images.metmuseum.org/CRDImages/ma/original/sf1982.503.jpg,True,,Female
1984.433.240ab,False,False,True,483378,,Modern and Contemporary Art,1984,Drawing,Two Studies of a Reclining Man,,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,ca. 1903,1903,1903,Graphite on paper,12 in. × 17 1/4 in. (30.5 × 43.8 cm),"Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/483378,,,"Metropolitan Museum of Art, New York, NY",Male Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ma/original/DP-13956-001.jpg|https://images.metmuseum.org/CRDImages/ma/original/DP-13956-002.jpg,,True,Male
1984.433.241,False,False,True,483379,,Modern and Contemporary Art,1984,Drawing,"Standing Nude Woman, Back View",,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1911,1911,1911,Graphite on paper,19 3/8 × 12 1/2 in. (49.2 × 31.8 cm),"Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/483379,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ma/original/LC-1984_433_241-overall-20240105-01.jpg,True,,Female
1984.433.242,False,False,True,483380,,Modern and Contemporary Art,1984,Drawing,"Standing Nude model, Facing Left",,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1911–12,1911,1912,Crayon or pencil on paper,19 7/8 × 13 11/16 in. (50.5 × 34.8 cm),"Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/483380,https://www.wikidata.org/wiki/Q19917752,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ma/original/sf1984.433.242.jpg,True,,Female
1984.433.243,False,False,True,483381,,Modern and Contemporary Art,1984,Drawing,"Seated Nude Model, Facing Left",,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1912,1912,1912,Oil pastel on paper,24 3/4 × 18 5/8 in. (62.9 × 47.3 cm),"Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/483381,https://www.wikidata.org/wiki/Q20198610,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ma/original/sf1984.433.243.jpg,True,,Female
1984.433.245,False,False,True,483383,,Modern and Contemporary Art,1984,Drawing,"Torso of Nude Model, Kneeling",,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1912,1912,1912,Crayon on paper,17 3/8 × 10 1/4 in. (44.1 × 26 cm),"Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/483383,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ma/original/sf1984.433.245.jpg,True,,Female
1984.433.246,False,False,True,483384,,Modern and Contemporary Art,1984,Drawing,Male Nude Model,,,,,,16435,Artist, ,Wilhelm Lehmbruck,"German, Duisburg 1881–1919 Berlin", ,"Lehmbruck, Wilhelm",German,1881      ,1919      ,male,http://vocab.getty.edu/page/ulan/500019056,https://www.wikidata.org/wiki/Q551282,1912,1912,1912,Charcoal on paper,25 in. × 17 3/4 in. (63.5 × 45.1 cm),"Bequest of Scofield Thayer, 1982",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/483384,,,"Metropolitan Museum of Art, New York, NY",Male Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/ma/original/DP-13067-001.jpg,,True,Male
